Invoice_Id,Branch,City,Customer_Type,Gender,Product_Line,Unit_Price,Quantity,Tax_5%,Sales,Date,Payment,Cogs,Gross_Income,Rating,Year,Month,Day,Satisfied
746-04-1077,Cairo,Mandalay,Member,Female,Food and beverages,84.63,10,42.315,888.615,2019-01-01,Credit Card,846.3,42.315,9.0,2019,1,1,Satisfied
182-52-7000,Alex,Yangon,Member,Female,Sports and travel,27.04,4,5.408,113.568,2019-01-01,Ewallet,108.16,5.408,6.9,2019,1,1,Not Satisfied
651-88-7328,Alex,Yangon,Normal,Female,Fashion accessories,65.74,9,29.583,621.243,2019-01-01,Cash,591.66,29.583,7.7,2019,1,1,Satisfied
765-26-6951,Alex,Yangon,Member,Female,Sports and travel,72.61,6,21.783,457.443,2019-01-01,Credit Card,435.66,21.783,6.9,2019,1,1,Not Satisfied
770-42-8960,Cairo,Mandalay,Normal,Male,Food and beverages,21.12,8,8.448,177.408,2019-01-01,Cash,168.96,8.448,6.3,2019,1,1,Not Satisfied
891-01-7034,Cairo,Mandalay,Normal,Female,Electronic accessories,74.71,6,22.413,470.673,2019-01-01,Cash,448.26,22.413,6.7,2019,1,1,Not Satisfied
133-14-7229,Giza,Naypyitaw,Normal,Male,Health and beauty,62.87,2,6.287,132.027,2019-01-01,Cash,125.74,6.287,5.0,2019,1,1,Not Satisfied
530-90-9855,Alex,Yangon,Member,Male,Home and lifestyle,47.59,8,19.036,399.756,2019-01-01,Cash,380.72,19.036,5.7,2019,1,1,Not Satisfied
416-17-9926,Alex,Yangon,Member,Female,Electronic accessories,74.22,10,37.11,779.31,2019-01-01,Credit Card,742.2,37.11,4.3,2019,1,1,Not Satisfied
493-65-6248,Giza,Naypyitaw,Member,Female,Sports and travel,36.98,10,18.49,388.29,2019-01-01,Credit Card,369.8,18.49,7.0,2019,1,1,Satisfied
556-97-7101,Giza,Naypyitaw,Normal,Female,Electronic accessories,63.22,2,6.322,132.762,2019-01-01,Cash,126.44,6.322,8.5,2019,1,1,Satisfied
271-77-8740,Giza,Naypyitaw,Member,Female,Sports and travel,29.22,6,8.766,184.086,2019-01-01,Ewallet,175.32,8.766,5.0,2019,1,1,Not Satisfied
446-47-6729,Giza,Naypyitaw,Normal,Male,Fashion accessories,99.82,2,9.982,209.622,2019-01-02,Credit Card,199.64,9.982,6.7,2019,1,2,Not Satisfied
504-35-8843,Alex,Yangon,Member,Female,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,Cash,42.47,2.1235,5.7,2019,1,2,Not Satisfied
345-68-9016,Giza,Naypyitaw,Member,Female,Sports and travel,31.67,8,12.668,266.028,2019-01-02,Credit Card,253.36,12.668,5.6,2019,1,2,Not Satisfied
712-39-0363,Alex,Yangon,Member,Male,Food and beverages,41.66,6,12.498,262.458,2019-01-02,Ewallet,249.96,12.498,5.6,2019,1,2,Not Satisfied
670-71-7306,Cairo,Mandalay,Normal,Male,Sports and travel,44.63,6,13.389,281.169,2019-01-02,Credit Card,267.78,13.389,5.1,2019,1,2,Not Satisfied
