,Invoice_Id,Branch,City,Customer_Type,Gender,Product_Line,Unit_Price,Quantity,Tax_5%,Sales,Date,Payment,Cogs,Gross_Income,Rating
1000,518-17-2983,Alex,Yangon,Normal,Female,Fashion accessories,48.63,4,9.726,204.246,2019-02-04,Ewallet,194.52,9.726,7.6
1001,779-42-2410,Cairo,Mandalay,Member,Male,Food and beverages,57.74,3,8.661,181.881,2019-02-20,Ewallet,173.22,8.661,7.7
1002,190-14-3147,Cairo,Mandalay,Normal,Female,Health and beauty,17.97,4,3.594,75.474,2019-02-23,Ewallet,71.88,3.594,6.4
1003,408-66-6712,Giza,Naypyitaw,Member,Female,Health and beauty,47.71,6,14.313,300.573,2019-02-16,Ewallet,286.26,14.313,4.4
1004,679-22-6530,Cairo,Mandalay,Normal,Female,Sports and travel,40.62,2,4.062,85.302,2019-01-17,Credit Card,81.24,4.062,4.1
1005,588-47-8641,Alex,Yangon,Member,Male,Fashion accessories,56.04,10,28.02,588.42,2019-01-14,Ewallet,560.4,28.02,4.4
1006,642-61-4706,Cairo,Mandalay,Member,Male,Food and beverages,93.4,2,9.34,196.14,2019-03-30,Cash,186.8,9.34,5.5
1007,576-31-4774,Cairo,Mandalay,Normal,Female,Health and beauty,73.41,3,11.0115,231.2415,2019-03-02,Ewallet,220.23,11.0115,4.0
1008,556-41-6224,Giza,Naypyitaw,Normal,Male,Health and beauty,33.64,8,13.456,282.576,2019-02-15,Credit Card,269.12,13.456,9.3
1009,886-18-2897,Alex,Yangon,Normal,Female,Food and beverages,56.56,5,14.14,296.94,2019-03-22,Credit Card,282.8,14.14,4.5
1010,602-16-6955,Cairo,Mandalay,Normal,Female,Sports and travel,76.6,10,38.3,804.3,2019-01-24,Ewallet,766.0,38.3,6.0
1011,745-74-0715,Alex,Yangon,Normal,Male,Electronic accessories,58.03,2,5.803,121.863,2019-03-10,Ewallet,116.06,5.803,8.8
1012,690-01-6631,Cairo,Mandalay,Normal,Male,Fashion accessories,17.49,10,8.745,183.645,2019-02-22,Ewallet,174.9,8.745,6.6
1013,652-49-6720,Giza,Naypyitaw,Member,Female,Electronic accessories,60.95,1,3.0475,63.9975,2019-02-18,Ewallet,60.95,3.0475,5.9
